125 6963
48 2 1
48 3 2
48 5 4
48 6 5
48 7 6
48 8 7
48 9 8
48 10 9
48 11 10
48 12 11
48 14 13
48 15 14
48 16 15
48 17 16
48 18 17
48 19 18
48 20 19
48 21 20
48 22 21
48 23 22
48 24 23
48 25 24
48 26 25
48 27 26
48 29 28
48 30 29
48 31 30
48 32 31
48 33 32
48 34 33
48 35 34
48 36 35
48 38 37
48 39 38
48 40 39
48 41 40
48 42 41
48 43 42
48 44 43
48 45 44
48 46 45
48 47 46
49 1 1
49 2 2
49 3 3
49 4 4
49 5 5
49 6 6
49 7 7
49 8 8
49 9 9
49 10 10
49 11 11
49 12 12
49 13 13
49 14 14
49 15 15
49 16 16
49 17 17
49 18 18
49 19 19
49 20 20
49 21 21
49 22 22
49 23 23
49 24 24
49 25 25
49 26 26
49 27 27
49 28 28
49 29 29
49 30 30
49 31 31
49 32 32
49 33 33
49 34 34
49 35 35
49 36 36
49 37 37
49 38 38
49 39 39
49 40 40
49 42 42
49 43 43
49 44 44
49 45 45
49 46 46
49 47 47
49 48 48
50 1 2
50 2 3
50 3 4
50 4 5
50 5 6
50 6 7
50 7 8
50 8 9
50 9 10
50 10 11
50 11 12
50 12 13
50 13 14
50 14 15
50 15 16
50 16 17
50 18 19
50 19 20
50 20 21
50 21 22
50 22 23
50 24 25
50 25 26
50 26 27
50 28 29
50 29 30
50 31 32
50 32 33
50 33 34
50 34 35
50 35 36
50 37 38
50 38 39
50 39 40
50 40 41
50 41 42
50 42 43
50 43 44
50 44 45
50 45 46
50 47 48
50 48 49
50 49 50
51 1 3
51 2 4
51 3 5
51 4 6
51 5 7
51 6 8
51 7 9
51 8 10
51 9 11
51 10 12
51 12 14
51 13 15
51 14 16
51 16 18
51 17 19
51 18 20
51 19 21
51 20 22
51 21 23
51 22 24
51 23 25
51 24 26
51 25 27
51 26 28
51 27 29
51 28 30
51 29 31
51 30 32
51 31 33
51 33 35
51 34 36
51 35 37
51 37 39
51 39 41
51 40 42
51 41 43
51 43 45
51 44 46
51 45 47
51 46 48
51 47 49
51 49 1
51 50 2
52 1 4
52 2 5
52 3 6
52 4 7
52 5 8
52 6 9
52 7 10
52 8 11
52 9 12
52 10 13
52 11 14
52 12 15
52 13 16
52 14 17
52 15 18
52 16 19
52 17 20
52 19 22
52 20 23
52 21 24
52 22 25
52 23 26
52 24 27
52 25 28
52 27 30
52 28 31
52 29 32
52 30 33
52 31 34
52 32 35
52 33 36
52 34 37
52 35 38
52 36 39
52 37 40
52 38 41
52 39 42
52 40 43
52 41 44
52 42 45
52 43 46
52 44 47
52 45 48
52 47 50
52 49 2
52 50 3
52 51 4
53 3 7
53 4 8
53 5 9
53 6 10
53 7 11
53 8 12
53 9 13
53 10 14
53 11 15
53 12 16
53 13 17
53 14 18
53 15 19
53 17 21
53 18 22
53 19 23
53 20 24
53 21 25
53 22 26
53 23 27
53 24 28
53 25 29
53 26 30
53 27 31
53 28 32
53 30 34
53 31 35
53 32 36
53 33 37
53 34 38
53 35 39
53 36 40
53 37 41
53 38 42
53 39 43
53 40 44
53 41 45
53 42 46
53 43 47
53 45 49
53 46 50
53 47 1
53 48 2
53 49 3
53 50 4
53 51 5
53 52 6
54 1 6
54 2 7
54 3 8
54 4 9
54 5 10
54 6 11
54 7 12
54 8 13
54 9 14
54 11 16
54 12 17
54 13 18
54 14 19
54 15 20
54 16 21
54 17 22
54 18 23
54 19 24
54 20 25
54 21 26
54 22 27
54 23 28
54 24 29
54 25 30
54 26 31
54 27 32
54 28 33
54 29 34
54 31 36
54 32 37
54 33 38
54 34 39
54 35 40
54 36 41
54 37 42
54 38 43
54 39 44
54 40 45
54 41 46
54 42 47
54 43 48
54 44 49
54 45 50
54 46 1
54 47 2
54 48 3
54 49 4
54 50 5
54 51 6
54 52 7
54 53 8
55 1 7
55 3 9
55 4 10
55 5 11
55 6 12
55 7 13
55 8 14
55 9 15
55 10 16
55 11 17
55 12 18
55 13 19
55 14 20
55 15 21
55 16 22
55 17 23
55 18 24
55 19 25
55 20 26
55 21 27
55 22 28
55 23 29
55 24 30
55 25 31
55 26 32
55 27 33
55 28 34
55 29 35
55 30 36
55 31 37
55 32 38
55 33 39
55 34 40
55 35 41
55 36 42
55 37 43
55 38 44
55 39 45
55 40 46
55 42 48
55 43 49
55 44 50
55 45 1
55 46 2
55 47 3
55 49 5
55 50 6
55 51 7
55 52 8
55 54 10
56 4 11
56 5 12
56 6 13
56 7 14
56 8 15
56 9 16
56 10 17
56 11 18
56 12 19
56 13 20
56 14 21
56 15 22
56 16 23
56 18 25
56 19 26
56 20 27
56 21 28
56 22 29
56 23 30
56 24 31
56 25 32
56 27 34
56 28 35
56 29 36
56 30 37
56 31 38
56 32 39
56 33 40
56 34 41
56 35 42
56 37 44
56 38 45
56 40 47
56 41 48
56 42 49
56 43 50
56 45 2
56 46 3
56 47 4
56 48 5
56 49 6
56 50 7
56 51 8
56 52 9
56 53 10
56 54 11
57 1 9
57 2 10
57 4 12
57 5 13
57 6 14
57 7 15
57 8 16
57 9 17
57 10 18
57 11 19
57 12 20
57 13 21
57 14 22
57 16 24
57 17 25
57 19 27
57 20 28
57 22 30
57 23 31
57 24 32
57 25 33
57 26 34
57 28 36
57 29 37
57 30 38
57 31 39
57 32 40
57 33 41
57 34 42
57 35 43
57 36 44
57 37 45
57 38 46
57 39 47
57 40 48
57 41 49
57 42 50
57 43 1
57 45 3
57 46 4
57 47 5
57 50 8
57 51 9
57 52 10
57 54 12
57 55 13
57 56 14
58 1 10
58 2 11
58 3 12
58 4 13
58 5 14
58 6 15
58 9 18
58 10 19
58 11 20
58 12 21
58 13 22
58 14 23
58 15 24
58 16 25
58 17 26
58 18 27
58 19 28
58 20 29
58 21 30
58 22 31
58 23 32
58 24 33
58 25 34
58 26 35
58 27 36
58 28 37
58 29 38
58 30 39
58 31 40
58 32 41
58 33 42
58 35 44
58 36 45
58 37 46
58 38 47
58 39 48
58 40 49
58 41 50
58 42 1
58 43 2
58 44 3
58 45 4
58 46 5
58 47 6
58 48 7
58 49 8
58 51 10
58 52 11
58 53 12
58 54 13
58 55 14
58 56 15
58 57 16
59 1 11
59 2 12
59 3 13
59 4 14
59 5 15
59 6 16
59 7 17
59 8 18
59 9 19
59 10 20
59 12 22
59 13 23
59 14 24
59 15 25
59 16 26
59 17 27
59 18 28
59 19 29
59 20 30
59 21 31
59 22 32
59 23 33
59 24 34
59 25 35
59 26 36
59 27 37
59 28 38
59 29 39
59 30 40
59 31 41
59 32 42
59 33 43
59 34 44
59 35 45
59 36 46
59 37 47
59 38 48
59 40 50
59 41 1
59 42 2
59 43 3
59 44 4
59 45 5
59 46 6
59 47 7
59 48 8
59 50 10
59 51 11
59 52 12
59 53 13
59 54 14
59 55 15
59 56 16
59 57 17
59 58 18
60 1 12
60 2 13
60 3 14
60 4 15
60 5 16
60 6 17
60 7 18
60 8 19
60 9 20
60 10 21
60 11 22
60 12 23
60 13 24
60 14 25
60 15 26
60 16 27
60 18 29
60 20 31
60 21 32
60 22 33
60 23 34
60 24 35
60 25 36
60 26 37
60 27 38
60 28 39
60 29 40
60 30 41
60 31 42
60 32 43
60 33 44
60 34 45
60 35 46
60 37 48
60 38 49
60 39 50
60 40 1
60 41 2
60 42 3
60 43 4
60 44 5
60 45 6
60 46 7
60 47 8
60 48 9
60 49 10
60 50 11
60 51 12
60 52 13
60 53 14
60 54 15
60 55 16
60 56 17
60 57 18
60 58 19
60 59 20
61 1 13
61 2 14
61 3 15
61 4 16
61 5 17
61 6 18
61 7 19
61 8 20
61 9 21
61 10 22
61 11 23
61 12 24
61 13 25
61 14 26
61 15 27
61 16 28
61 17 29
61 18 30
61 20 32
61 21 33
61 23 35
61 24 36
61 25 37
61 26 38
61 27 39
61 28 40
61 29 41
61 30 42
61 31 43
61 32 44
61 33 45
61 34 46
61 37 49
61 38 50
61 39 1
61 40 2
61 41 3
61 43 5
61 44 6
61 45 7
61 46 8
61 48 10
61 49 11
61 50 12
61 51 13
61 53 15
61 54 16
61 55 17
61 56 18
61 57 19
61 58 20
61 59 21
61 60 22
62 1 14
62 2 15
62 3 16
62 4 17
62 5 18
62 6 19
62 7 20
62 8 21
62 9 22
62 10 23
62 11 24
62 12 25
62 13 26
62 14 27
62 15 28
62 16 29
62 17 30
62 19 32
62 20 33
62 22 35
62 23 36
62 25 38
62 26 39
62 28 41
62 29 42
62 30 43
62 31 44
62 33 46
62 35 48
62 36 49
62 37 50
62 38 1
62 39 2
62 40 3
62 41 4
62 42 5
62 43 6
62 44 7
62 45 8
62 46 9
62 48 11
62 49 12
62 50 13
62 51 14
62 52 15
62 53 16
62 54 17
62 55 18
62 56 19
62 57 20
62 58 21
62 59 22
62 60 23
62 61 24
63 1 15
63 2 16
63 3 17
63 4 18
63 5 19
63 6 20
63 7 21
63 8 22
63 9 23
63 10 24
63 11 25
63 12 26
63 13 27
63 15 29
63 16 30
63 17 31
63 18 32
63 19 33
63 20 34
63 21 35
63 22 36
63 23 37
63 24 38
63 26 40
63 27 41
63 28 42
63 29 43
63 30 44
63 31 45
63 33 47
63 34 48
63 35 49
63 36 50
63 37 1
63 38 2
63 39 3
63 40 4
63 41 5
63 43 7
63 44 8
63 45 9
63 46 10
63 47 11
63 48 12
63 49 13
63 50 14
63 52 16
63 53 17
63 54 18
63 56 20
63 57 21
63 58 22
63 59 23
63 60 24
63 61 25
63 62 26
64 1 16
64 2 17
64 3 18
64 4 19
64 5 20
64 6 21
64 7 22
64 8 23
64 10 25
64 11 26
64 12 27
64 13 28
64 15 30
64 18 33
64 19 34
64 20 35
64 21 36
64 22 37
64 23 38
64 24 39
64 26 41
64 27 42
64 29 44
64 30 45
64 31 46
64 32 47
64 33 48
64 35 50
64 36 1
64 37 2
64 38 3
64 39 4
64 40 5
64 41 6
64 42 7
64 43 8
64 44 9
64 45 10
64 46 11
64 47 12
64 48 13
64 49 14
64 50 15
64 51 16
64 52 17
64 53 18
64 54 19
64 55 20
64 56 21
64 57 22
64 58 23
64 59 24
64 60 25
64 61 26
64 62 27
64 63 28
65 1 17
65 2 18
65 4 20
65 5 21
65 7 23
65 8 24
65 9 25
65 10 26
65 11 27
65 12 28
65 14 30
65 15 31
65 16 32
65 17 33
65 19 35
65 20 36
65 21 37
65 22 38
65 23 39
65 24 40
65 25 41
65 26 42
65 27 43
65 28 44
65 29 45
65 30 46
65 31 47
65 32 48
65 33 49
65 34 50
65 35 1
65 36 2
65 37 3
65 38 4
65 39 5
65 40 6
65 41 7
65 42 8
65 44 10
65 45 11
65 46 12
65 47 13
65 48 14
65 49 15
65 50 16
65 51 17
65 52 18
65 53 19
65 54 20
65 55 21
65 56 22
65 57 23
65 58 24
65 60 26
65 61 27
65 62 28
65 63 29
65 64 30
66 1 18
66 3 20
66 4 21
66 5 22
66 6 23
66 7 24
66 8 25
66 9 26
66 10 27
66 11 28
66 12 29
66 13 30
66 14 31
66 15 32
66 16 33
66 17 34
66 18 35
66 19 36
66 20 37
66 22 39
66 23 40
66 24 41
66 25 42
66 26 43
66 27 44
66 28 45
66 29 46
66 30 47
66 31 48
66 32 49
66 33 50
66 34 1
66 35 2
66 36 3
66 37 4
66 38 5
66 39 6
66 40 7
66 41 8
66 42 9
66 43 10
66 44 11
66 45 12
66 46 13
66 47 14
66 48 15
66 49 16
66 50 17
66 51 18
66 52 19
66 53 20
66 54 21
66 55 22
66 57 24
66 58 25
66 59 26
66 60 27
66 62 29
66 63 30
66 64 31
66 65 32
67 2 20
67 3 21
67 4 22
67 5 23
67 6 24
67 7 25
67 8 26
67 9 27
67 10 28
67 11 29
67 12 30
67 13 31
67 14 32
67 16 34
67 17 35
67 18 36
67 19 37
67 20 38
67 21 39
67 22 40
67 23 41
67 24 42
67 25 43
67 26 44
67 27 45
67 28 46
67 29 47
67 30 48
67 31 49
67 33 1
67 34 2
67 35 3
67 36 4
67 37 5
67 38 6
67 39 7
67 40 8
67 41 9
67 42 10
67 43 11
67 44 12
67 45 13
67 46 14
67 47 15
67 48 16
67 49 17
67 50 18
67 51 19
67 52 20
67 53 21
67 54 22
67 55 23
67 56 24
67 57 25
67 58 26
67 59 27
67 60 28
67 61 29
67 62 30
67 63 31
67 64 32
67 65 33
67 66 34
68 1 20
68 2 21
68 3 22
68 5 24
68 6 25
68 7 26
68 8 27
68 9 28
68 10 29
68 11 30
68 13 32
68 14 33
68 15 34
68 18 37
68 19 38
68 20 39
68 21 40
68 22 41
68 23 42
68 24 43
68 25 44
68 26 45
68 27 46
68 28 47
68 29 48
68 31 50
68 33 2
68 34 3
68 35 4
68 36 5
68 37 6
68 38 7
68 39 8
68 40 9
68 41 10
68 42 11
68 43 12
68 44 13
68 45 14
68 46 15
68 47 16
68 48 17
68 49 18
68 50 19
68 51 20
68 52 21
68 53 22
68 54 23
68 55 24
68 56 25
68 57 26
68 58 27
68 59 28
68 60 29
68 61 30
68 63 32
68 64 33
68 65 34
68 66 35
68 67 36
69 1 21
69 2 22
69 3 23
69 5 25
69 6 26
69 7 27
69 8 28
69 10 30
69 11 31
69 12 32
69 13 33
69 14 34
69 15 35
69 16 36
69 17 37
69 18 38
69 19 39
69 20 40
69 21 41
69 22 42
69 24 44
69 25 45
69 26 46
69 27 47
69 28 48
69 29 49
69 30 50
69 31 1
69 32 2
69 33 3
69 34 4
69 35 5
69 36 6
69 37 7
69 38 8
69 39 9
69 40 10
69 41 11
69 42 12
69 43 13
69 44 14
69 45 15
69 46 16
69 47 17
69 48 18
69 50 20
69 52 22
69 53 23
69 54 24
69 55 25
69 56 26
69 57 27
69 58 28
69 59 29
69 60 30
69 61 31
69 62 32
69 63 33
69 64 34
69 65 35
69 66 36
69 67 37
69 68 38
70 1 22
70 2 23
70 3 24
70 4 25
70 5 26
70 7 28
70 8 29
70 9 30
70 10 31
70 11 32
70 12 33
70 13 34
70 14 35
70 15 36
70 16 37
70 17 38
70 18 39
70 19 40
70 21 42
70 22 43
70 24 45
70 25 46
70 26 47
70 27 48
70 28 49
70 29 50
70 30 1
70 31 2
70 32 3
70 33 4
70 34 5
70 35 6
70 36 7
70 37 8
70 38 9
70 39 10
70 40 11
70 42 13
70 44 15
70 45 16
70 46 17
70 47 18
70 48 19
70 49 20
70 50 21
70 51 22
70 52 23
70 53 24
70 54 25
70 55 26
70 56 27
70 57 28
70 58 29
70 59 30
70 60 31
70 61 32
70 62 33
70 63 34
70 64 35
70 65 36
70 66 37
70 67 38
70 68 39
70 69 40
71 1 23
71 2 24
71 3 25
71 4 26
71 5 27
71 6 28
71 7 29
71 8 30
71 9 31
71 11 33
71 12 34
71 16 38
71 17 39
71 18 40
71 19 41
71 20 42
71 22 44
71 23 45
71 24 46
71 25 47
71 26 48
71 27 49
71 28 50
71 29 1
71 31 3
71 32 4
71 34 6
71 35 7
71 37 9
71 38 10
71 39 11
71 40 12
71 41 13
71 42 14
71 44 16
71 45 17
71 46 18
71 47 19
71 48 20
71 49 21
71 50 22
71 51 23
71 53 25
71 54 26
71 55 27
71 56 28
71 57 29
71 58 30
71 59 31
71 60 32
71 61 33
71 62 34
71 63 35
71 64 36
71 65 37
71 66 38
71 67 39
71 68 40
71 69 41
71 70 42
72 1 24
72 2 25
72 3 26
72 4 27
72 5 28
72 6 29
72 7 30
72 8 31
72 9 32
72 10 33
72 11 34
72 12 35
72 13 36
72 14 37
72 15 38
72 18 41
72 19 42
72 20 43
72 21 44
72 22 45
72 23 46
72 24 47
72 25 48
72 27 50
72 29 2
72 30 3
72 31 4
72 32 5
72 33 6
72 34 7
72 35 8
72 36 9
72 37 10
72 38 11
72 39 12
72 40 13
72 41 14
72 42 15
72 43 16
72 44 17
72 45 18
72 46 19
72 47 20
72 48 21
72 49 22
72 50 23
72 51 24
72 53 26
72 54 27
72 55 28
72 56 29
72 57 30
72 58 31
72 59 32
72 60 33
72 61 34
72 62 35
72 63 36
72 64 37
72 66 39
72 67 40
72 68 41
72 69 42
72 70 43
72 71 44
73 1 25
73 2 26
73 3 27
73 4 28
73 5 29
73 6 30
